Stud Qu1 Qu2 Qu3 Qu4 Qu5 Sub2-Qu1 Sub2-Qu2 Sub2-Qu3 Sub2-Qu4 Sub2-Qu5 
1234 052 007 100 078 034 092 027 099 048 054
2134 090 036 090 077 030 094 089 097 088 021
3124 100 045 020 090 070 098 079 097 100 080
4532 011 017 081 032 077 043 059 067 076 040
5678 020 012 045 078 034 087 043 089 078 040
6134 034 080 055 078 045 089 059 056 077 090
7874 060 100 056 078 078 053 100 099 075 070
8026 070 010 066 078 056 058 069 100 098 076
9893 034 009 077 078 020 098 039 088 058 075
1947 045 040 088 078 055 045 024 097 048 089
2877 055 050 099 078 080 084 099 067 088 043
3189 022 070 100 078 077 074 059 057 059 089
4602 089 050 091 078 060 094 049 057 076 095
5405 011 011 000 078 010 054 068 047 078 098
6999 000 098 089 078 020 084 023 037 100 099
